"","Family","Genus","Species","sci_name","nutrient_data","ctmax_estimate","gl_fish","SpecCode","SpeciesRefNo","FBname","Fresh","Brack","Saltwater","LongevityWild","Vulnerability","Length","LTypeMaxM","CommonLength","LTypeComM","Weight","Importance","DietTroph","DietSeTroph","DietRemark","FoodTroph","FoodSeTroph","FoodRemark","TLinfinity_mean","K_mean","TLinfinity_sd","K_sd"
"11","Salmonidae","Salmo","salar","Salmo salar","Y","Y","Y",236,86798,"Atlantic salmon",1,1,1,13,45.37,150,"TL",38,"TL",46764,"highly commercial",4.5,0.26,"Troph of juv./adults from 7 studies.",3.86,0.81,"Trophic level estimated from a number of food items using a randomized resampling routine.",67.446,0.367133333333333,60.4484976535516,0.216541275071345
"12","Salmonidae","Oncorhynchus","mykiss","Oncorhynchus mykiss","Y","Y","Y",239,86798,"Rainbow trout",1,1,1,11,42.51,122,"TL",60,"TL",25400,"highly commercial",4.08,0.281,"Troph of adults from 3 studies.",3.53,0.63,"Trophic level estimated from a number of food items using a randomized resampling routine.",73.54763875,0.5156875,26.8587577790296,0.226266110318296
"13","Soleidae","Solea","solea","Solea solea","Y","Y",NA,525,7395,"Common sole",0,1,1,26.3999996185303,34.95,70,"SL",35,"SL",3000,"highly commercial",3.21,0.148,"Troph of juv./adults from 2 studies.",3.29999995231628,0.6585,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.331878387096774,NA,0.13360844934008
"14","Gadidae","Gadus","morhua","Gadus morhua","Y","Y",NA,69,1371,"Atlantic cod",0,1,1,25,65.4,200,"TL",100,"TL",96000,"highly commercial",4.09,0.179,"Troph of adults from 7 studies.",4.29,1,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.184736111111111,NA,0.0852688646031863
"15","Gadidae","Gadus","macrocephalus","Gadus macrocephalus","Y",NA,NA,308,1371,"Pacific cod",0,1,1,25,50.18,119,"TL",NA,NA,22700,"highly commercial",4.16,0.149,"Troph of juv./adults from 9 studies.",4.47,1.07,"Trophic level estimated from a number of food items using a randomized resampling routine.",97.1375,0.257,21.4740998480894,0.173908843116978
"16","Gadidae","Gadus","macrocephalus","Gadus macrocephalus","Y",NA,NA,308,1371,"Pacific cod",0,1,1,25,50.18,119,"TL",NA,NA,22700,"highly commercial",3.78,0.19,"Troph of juv./adults from 5 studies.",4.47,1.07,"Trophic level estimated from a number of food items using a randomized resampling routine.",97.1375,0.257,21.4740998480894,0.173908843116978
"17","Moronidae","Dicentrarchus","labrax","Dicentrarchus labrax","Y","Y",NA,63,6916,"European seabass",1,1,1,30,66.07,103,"TL",50,"TL",12000,"commercial",NA,NA,NA,3.47,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.177298333333333,NA,0.112772926804265
"18","Carangidae","Trachurus","trachurus","Trachurus trachurus","Y",NA,NA,1365,4233,"Atlantic horse mackerel",0,0,1,NA,56.3,70,"TL",22,"FL",2000,"highly commercial",3.71,0.025,"Troph of juv./adults from 500 studies.",4.18,0.82,"Trophic level estimated from a number of food items using a randomized resampling routine.",41.3247238888889,0.221666666666667,8.9269697275533,0.102771591405407
"19","Cichlidae","Oreochromis","mossambicus","Oreochromis mossambicus","Y","Y",NA,3,1,"Mozambique tilapia",1,1,0,11,34.32,39,"SL",35,"TL",1130,"highly commercial",2.17,0.03,"Troph of juv./adults from 14 studies.",2.77,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.71384895833333,NA,5.22314035903128
"20","Channidae","Channa","striata","Channa striata","Y",NA,NA,343,6028,"Striped snakehead",1,1,0,NA,39.69,100,"SL",61,"TL",3000,"highly commercial",NA,NA,NA,3.57,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",56.3518175,0.35775,12.2450821072472,0.104308436859153
"21","Mullidae","Mullus","surmuletus","Mullus surmuletus","Y","Y",NA,1327,7313,"Surmullet",0,0,1,11,41.64,40,"SL",25,"SL",1000,"commercial",3.45,0.29,"Troph of juv./adults from 3 studies.",3.46,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.316358974358974,NA,0.168908553144109
"22","Gadidae","Merlangius","merlangus","Merlangius merlangus","Y",NA,NA,29,1371,"Whiting",0,1,1,20,67.35,91.5,"TL",23.5,"TL",3110,"highly commercial",4.36,0.184,"Troph of adults from 15 studies.",3.57,0.74,"Trophic level estimated from a number of food items using a randomized resampling routine.",45.7443434343434,0.34559595959596,12.8978068980276,0.188316598333759
"23","Scombridae","Scomberomorus","guttatus","Scomberomorus guttatus","Y",NA,NA,123,168,"Indo-Pacific king mackerel",0,1,1,NA,30.19,76,"FL",55,"FL",NA,"highly commercial",NA,NA,NA,4.28,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.565,NA,0.3772267222772
"24","Clupeidae","Tenualosa","ilisha","Tenualosa ilisha","Y",NA,NA,1596,188,"Hilsa shad",1,1,1,5,28.99,60,"SL",36,"SL",680,"minor commercial",NA,NA,NA,2.89,0.29,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.917846153846154,NA,0.422331198262265
"25","Engraulidae","Thryssa","purava","Thryssa purava","Y",NA,NA,596,189,"Oblique-jaw thryssa",0,1,1,NA,10,15.5,"SL",NA,NA,NA,"minor commercial",NA,NA,NA,3.54999995231628,0.4972,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"26","Carangidae","Parastromateus","niger","Parastromateus niger","Y",NA,NA,1947,7300,"Black pomfret",0,1,1,NA,35.14,75,"TL",30,"TL",NA,"highly commercial",NA,NA,NA,2.9300000667572,0.3533,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.504555555555556,NA,0.245126044674526
"27","Sciaenidae","Protonibea","diacanthus","Protonibea diacanthus","Y",NA,NA,4571,3490,"Blackspotted croaker",0,1,1,8,44.71,NA,NA,100,"SL",NA,"minor commercial",3.5,0.6,"Troph of juv./adults from 1 study.",3.93,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.4078,NA,0.108462896881837
"28","Mugilidae","Mugil","cephalus","Mugil cephalus","Y","Y",NA,785,9321,"Flathead grey mullet",1,1,1,16,42.76,100,"SL",50,"SL",NA,"highly commercial",NA,NA,NA,2.48,0.17,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.303108695652174,NA,0.173948808339423
"29","Scombridae","Rastrelliger","kanagurta","Rastrelliger kanagurta","Y",NA,NA,111,168,"Indian mackerel",0,0,1,4,16.62,36,NA,25,"TL",NA,"highly commercial",NA,NA,NA,3.29,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,1.23097872340426,NA,0.863788728384652
"30","Stromateidae","Pampus","argenteus","Pampus argenteus","Y",NA,NA,491,3517,"Silver pomfret",0,0,1,7,30.52,60,"SL",30,"SL",NA,"highly commercial",3.3,0.055,"Troph of juv./adults from 5 studies.",3.23,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.605576923076923,NA,0.227702276938719
"31","Nemipteridae","Nemipterus","japonicus","Nemipterus japonicus","Y",NA,NA,4559,3810,"Japanese threadfin bream",0,0,1,8,20.71,34,"TL",25,"TL",596,"commercial",NA,NA,NA,4.22,0.81,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.591335616438356,NA,0.241420018599364
"32","Clupeidae","Sardinella","fimbriata","Sardinella fimbriata","Y",NA,NA,1507,188,"Fringescale sardinella",0,1,1,NA,10,19,"TL",11,"SL",NA,"commercial",NA,NA,NA,2.70000004768372,0.3026,"Trophic level estimated from a number of food items using a randomized resampling routine.",19.6097894736842,1.04906578947368,2.80069688904877,0.260829710333002
"33","Polynemidae","Leptomelanosoma","indicum","Leptomelanosoma indicum","Y",NA,NA,4469,45350,"Indian threadfin",0,1,1,NA,60,142,"TL",80,"TL",NA,"commercial",NA,NA,NA,3.86,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",150,0.189,NA,NA
"34","Synodontidae","Harpadon","nehereus","Harpadon nehereus","Y",NA,NA,260,3417,"Bombay-duck",0,1,1,NA,25.64,60.9700012207031,"TL",25,"TL",NA,"highly commercial",NA,NA,NA,4.08,0.74,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.804384615384615,NA,0.341790271575406
"35","Centropomidae","Lates","calcarifer","Lates calcarifer","Y","Y",NA,346,9799,"Barramundi",1,1,1,35,69.17,200,"TL",150,"NG",60000,"highly commercial",NA,NA,NA,3.82999992370605,0.6,"Trophic level estimated from a number of food items using a randomized resampling routine.",126.71874875,0.3553525,45.628890000705,0.595776530294707
"36","Channidae","Channa","marulius","Channa marulius","Y",NA,NA,5144,94476,"Great snakehead",1,0,0,NA,54.51,183,"TL",46,"TL",30000,"commercial",NA,NA,NA,4.5,0.8,"Tentative trophic level derived from 1 + troph of a single food item",113,0.23,NA,NA
"37","Cyprinidae","Labeo","rohita","Labeo rohita","Y","Y",NA,82,56,"Roho labeo",1,1,0,10,48.21,200,"TL",NA,NA,45000,"highly commercial",NA,NA,NA,2.19,0.12,"Trophic level estimated from a number of food items using a randomized resampling routine.",81.1225,0.467,21.9106372568212,0.229378871447801
"38",NA,"Catla","catla","Catla catla","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Curimatidae","Prochilodus","reticulatus","Prochilodus reticulatus","Y",NA,NA,5491,598,"Netted prochilod",1,1,0,NA,24.16,28,"SL",NA,NA,NA,"commercial",NA,NA,NA,2,0,"Trophic level and s.e. inferred from exclusive plant/detritus food items.",41,0.2,NA,NA
"40","Characidae","Colossoma","macropomum","Colossoma macropomum","Y",NA,NA,263,598,"Cachama",1,0,0,NA,47.15,108,"TL",70,"TL",40000,"minor commercial",2.02,0,"Troph of juv./adults from 1 study.",2.42000007629395,0.2282,"Trophic level estimated from a number of food items using a randomized resampling routine.",115.333333333333,0.227333333333333,7.371114795832,0.00152752523165195
"41","Sciaenidae","Cynoscion","acoupa","Cynoscion acoupa","Y",NA,NA,1169,3702,"Acoupa weakfish",1,1,1,NA,45.08,110,"TL",45,"TL",17000,"commercial",NA,NA,NA,4.05,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",106,0.27,NA,NA
"42","Mugilidae","Mugil","curema","Mugil curema","Y","Y",NA,1086,7251,"White mullet",1,1,1,NA,56.4,91,"TL",30,"TL",680,"commercial",2.01,0,"Troph of juv./adults from 2 studies.",2.42,0.22,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.55625,NA,0.526533881693694
"43","Merlucciidae","Merluccius","albidus","Merluccius albidus","Y",NA,NA,1080,1371,"Offshore silver hake",0,0,1,NA,29.69,40.5999984741211,"TL",30,"TL",NA,"minor commercial",3.43,NA,"Troph of adults from 1 study.",4.47,0.0104,"Trophic level estimated from a number of food items using a randomized resampling routine.",45.8,0.5245,3.95979797464467,0.0629325035256027
"44","Serranidae","Epinephelus","striatus","Epinephelus striatus","Y",NA,NA,18,5222,"Nassau grouper",0,0,1,29,63.42,122,"TL",NA,NA,25000,"commercial",4.06,NA,"Troph of adults from 1 study.",4.03,0.0214,"Trophic level estimated from a number of food items using a randomized resampling routine.",95.9666666666667,0.1295,13.6765005270598,0.0618764898810526
"45","Lutjanidae","Lutjanus","buccanella","Lutjanus buccanella","Y",NA,NA,1419,55,"Blackfin snapper",0,0,1,NA,61.98,75,"TL",50,"TL",14000,"commercial",NA,NA,NA,3.9,0.57,"Trophic level estimated from a number of food items using a randomized resampling routine.",58.22,0.324,6.41186400354842,0.24213632523849
"46","Centropomidae","Centropomus","undecimalis","Centropomus undecimalis","Y",NA,NA,345,7251,"Common snook",1,1,1,7,45.7,140,"TL",50,"TL",24320,"commercial",4.17,0.62,"Troph of juv./adults from 1 study.",4.08,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",105.872726666667,0.376666666666667,15.9156420387031,0.100166528008778
"47","Mastacembelidae","Macrognathus","aculeatus","Macrognathus aculeatus","Y",NA,NA,5152,2091,"Lesser spiny eel",1,1,0,NA,28,38,"TL",NA,NA,NA,"minor commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Cyprinidae","Esomus","danricus","Esomus danricus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Clupeidae","Corica","soborna","Corica soborna","Y",NA,NA,1566,188,"Ganges river sprat",1,1,1,NA,10,5.30000019073486,"TL",NA,NA,NA,"subsistence fisheries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Cyprinidae","Amblypharyngodon","mola","Amblypharyngodon mola","Y",NA,NA,24301,41236,"Mola carplet",1,0,0,NA,10,20,"TL",NA,NA,NA,"of no interest",NA,NA,NA,NA,NA,NA,NA,0.14,NA,0.00707106781186546
"51","Cyprinidae","Puntius","sophore","Puntius sophore","Y",NA,NA,10137,41236,"Pool barb",1,1,0,NA,20.41,20,"NG",NA,NA,NA,"commercial",NA,NA,NA,NA,NA,NA,NA,1.16416666666667,NA,0.335625828817892
"52","Channidae","Channa","punctata","Channa punctata","Y","Y",NA,5147,6028,"Spotted snakehead",1,1,0,NA,18.35,31,"TL",15,"TL",NA,"commercial",NA,NA,NA,3.84,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.909090909090909,NA,0.323123955950485
"53","Cyprinidae","Cirrhinus","cirrhosus","Cirrhinus cirrhosus","Y",NA,NA,4494,33488,"Mrigal carp",1,1,0,NA,43.3,100,"SL",40,"TL",12700,"highly commercial",NA,NA,NA,2.4,0.17,"Trophic level estimated from a number of food items using a randomized resampling routine.",107.7,0.165666666666667,31.4844406016686,0.110192256231249
"54","Salmonidae","Salvelinus","alpinus","Salvelinus alpinus","Y","Y",NA,247,86798,"Arctic char",1,1,1,40,69.83,107,"TL",40,"TL",15000,"minor commercial",4.39,0.51,"Troph of juv./adults from 2 studies.",3.46000003814697,0.68,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.0496575,NA,0.0328029860175361
"55","Salmonidae","Thymallus","arcticus","Thymallus arcticus","Y","Y",NA,2693,3221,"Arctic grayling",1,0,0,18,50.62,76,"TL",34.2999992370605,"TL",3830,"minor commercial",3.26,0.2,"Troph of juv./adults from 1 study.",3.32,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.231025882352941,NA,0.120435922333145
"56","Sparidae","Spondyliosoma","cantharus","Spondyliosoma cantharus","Y",NA,NA,1356,3688,"Black seabream",0,0,1,NA,37.21,60,"SL",30,"SL",1220,"commercial",3.34,0.22,"Troph of juv./adults from 2 studies.",3.27,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",40.895527,0.249859,7.0434661266517,0.117483913456741
"57","Gadidae","Melanogrammus","aeglefinus","Melanogrammus aeglefinus","Y",NA,NA,1381,1371,"Haddock",0,0,1,20,54.8,112,"TL",35,"TL",16800,"highly commercial",4.03,0.134,"Troph of adults from 12 studies.",3.56,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.260627450980392,NA,0.143832536066679
"58","Macrouridae","Coryphaenoides","rupestris","Coryphaenoides rupestris","Y",NA,NA,332,1371,"Roundnose grenadier",0,0,1,54,72.09,110,"TL",NA,NA,1690,"commercial",NA,NA,NA,3.65,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",94.055,0.084285,19.2546451826854,0.0261210835448217
"59","Clupeidae","Clupea","harengus","Clupea harengus","Y","Y",NA,24,188,"Atlantic herring",0,1,1,25,40.97,45,"SL",30,"SL",1050,"highly commercial",3.38,0.128,"Troph of juv./adults from 4 studies.",3.28999996185303,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.35540872,NA,0.131860625545749
"60","Clupeidae","Clupea","harengus","Clupea harengus","Y","Y",NA,24,188,"Atlantic herring",0,1,1,25,40.97,45,"SL",30,"SL",1050,"highly commercial",3.38,0.128,"Troph of juv./adults from 4 studies.",3.3,0.37,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.35540872,NA,0.131860625545749
"61","Merlucciidae","Macruronus","novaezelandiae","Macruronus novaezelandiae","Y",NA,NA,1825,1371,"Blue grenadier",0,1,1,25,65.88,120,"TL",80,"TL",1500,"highly commercial",4.53,0.182,"Troph of adults from 8 studies.",4.21,0.74,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.181935555555556,NA,0.0493741959544031
"62","Gadidae","Pollachius","virens","Pollachius virens","Y",NA,NA,1343,1371,"Saithe",0,0,1,25,58.6,130,"TL",60,"TL",32000,"highly commercial",4.31,0.351,"Troph of adults from 5 studies.",3.61,0.72,"Trophic level estimated from a number of food items using a randomized resampling routine.",120.978571428571,0.143598571428571,24.3363981460954,0.0474268515079385
"63","Gadidae","Molva","dypterygia","Molva dypterygia","Y",NA,NA,1383,1371,"Blue ling",0,0,1,20,75.46,155,"TL",NA,NA,30000,"commercial",4.49,0.562,"Troph of juv./adults from 2 studies.",4.13,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",147.75,0.128062857142857,21.3668356727585,0.0364409795488018
"64","Lophiidae","Lophius","budegassa","Lophius budegassa","Y",NA,NA,5094,7400,"Blackbellied angler",0,0,1,21,67.7,100,"SL",50,"TL",NA,"commercial",4.41,0.418,"Troph of juv./adults from 3 studies.",4.23,0.71,"Trophic level estimated from a number of food items using a randomized resampling routine.",88.0064285714286,0.118571428571429,24.9565307029097,0.0346092790708243
"65","Scombridae","Scomber","scombrus","Scomber scombrus","Y",NA,NA,118,168,"Atlantic mackerel",0,1,1,17,30.18,60,"FL",30,"FL",3400,"highly commercial",3.63,0.178,"Troph of adults from 4 studies.",3.73,0.57,"Trophic level estimated from a number of food items using a randomized resampling routine.",41.9637096774194,0.330206451612903,4.07095319872835,0.140281828867186
"66","Pleuronectidae","Pleuronectes","platessa","Pleuronectes platessa","Y","Y",NA,1342,122998,"European plaice",0,1,1,50,71.05,100,"SL",40,"TL",7000,"highly commercial",3.17,0.27,"Troph of juv./adults.",3.23,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.147192307692308,NA,0.0587264977540934
"67","Scyliorhinidae","Scyliorhinus","canicula","Scyliorhinus canicula","Y",NA,NA,845,120402,"Lesser spotted dogfish",0,0,1,12,58.6,100,"TL",60,"TL",3725,"minor commercial",3.82,0.256,"Troph of juv./adults from 2 studies.",3.67,0.59,"Trophic level estimated from a number of food items using a randomized resampling routine.",72.9166666666667,0.241278333333333,13.8932237679621,0.148571668956994
"68","Scorpaenidae","Sebastes","marinus","Sebastes marinus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Gadidae","Trisopterus","luscus","Trisopterus luscus","Y",NA,NA,1367,1371,"Pouting",0,1,1,4,25.61,46,"TL",30,"TL",NA,"commercial",3.73,0.141,"Troph of adults from 7 studies.",NA,NA,NA,NA,0.40024,NA,0.191912969858736
"70","Scombridae","Thunnus","alalunga","Thunnus alalunga","Y",NA,NA,142,168,"Albacore",0,0,1,9,71.11,140,"FL",100,"FL",60320,"highly commercial",4.3,0.205,"Troph of juv./adults from 6 studies.",4.3,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.19909,NA,0.0997902755783348
"71","Pectinidae","Placopecten","magellanicus","Placopecten magellanicus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Salmonidae","Oncorhynchus","kisutch","Oncorhynchus kisutch","Y","Y","Y",245,86798,"Coho salmon",1,1,1,5,51.66,107.949996948242,"TL",71,"TL",15170,"highly commercial",NA,NA,NA,4.18,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",80,0.98,NA,NA
"73","Cyprinidae","Hypophthalmichthys","molitrix","Hypophthalmichthys molitrix","Y","Y",NA,274,7248,"Silver carp",1,1,0,20,55.21,120,"TL",18,"SL",50000,"commercial",NA,NA,NA,2.12,0.08,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.279336153846154,NA,0.155612058633988
"74","Cyprinidae","Rasbora","tawarensis","Rasbora tawarensis","Y",NA,NA,22639,7050,NA,1,0,0,NA,10,12,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Cyprinidae","Parachela","siamensis","Parachela siamensis","Y",NA,NA,27043,12693,NA,1,0,0,NA,10,19,"TL",8,"SL",NA,"commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Channidae","Channa","micropeltes","Channa micropeltes","Y",NA,NA,344,2091,"Indonesian snakehead",1,0,0,NA,90,130,"SL",50,"SL",20000,"commercial",NA,NA,NA,3.85,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"77","Pimelodidae","Pinirampus","pinirampu","Pinirampus pinirampu","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cyprinidae","Cyprinus","carpio","Cyprinus carpio","Y","Y","Y",1450,59043,"Common carp",1,1,0,38,59.72,120,"TL",31,"TL",40090,"highly commercial",3.06,NA,"Troph of adults from 1 study.",3.05,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.295517857142857,NA,0.166567266354405
"79","Doradidae","Pterodoras","granulosus","Pterodoras granulosus","Y",NA,NA,12109,37054,"Granulated catfish",1,0,0,NA,55.35,68,"SL",NA,NA,7500,"commercial",NA,NA,NA,2.55,0.29,"Trophic level estimated from a number of food items using a randomized resampling routine.",82.6,0.18,NA,NA
"80","Sciaenidae","Plagioscion","squamosissimus","Plagioscion squamosissimus","Y",NA,NA,4310,36888,"South American silver croaker",1,0,0,NA,61.84,80,"TL",NA,NA,4500,"commercial",4.35,0.5,"Troph of juv./adults from 1 study.",3.97,0.65,"Trophic level estimated from a number of food items using a randomized resampling routine.",70.35,0.312333333333333,28.4508523598152,0.36577242469419
"81","Curimatidae","Prochilodus","lineatus","Prochilodus lineatus","Y","Y",NA,13056,37057,"Streaked prochilod",1,0,0,NA,33.63,80,"TL",46.2000007629395,"SL",7200,"commercial",NA,NA,NA,2.18,0.12,"Trophic level estimated from a number of food items using a randomized resampling routine.",56.9799472727273,0.415545454545455,9.0591353997775,0.172365520703164
"82","Characidae","Salminus","maxillosus","Salminus maxillosus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Pimelodidae","Hemisorubim","platyrhynchos","Hemisorubim platyrhynchos","Y",NA,NA,13261,36506,"Porthole shovelnose catfish",1,0,0,NA,45.17,NA,NA,NA,NA,2670,"commercial",NA,NA,NA,4.5,0.8,"Tentative trophic level derived from 1 + troph of a single food item",70.24,0.222,NA,NA
"84","Pimelodidae","Pimelodus","maculatus","Pimelodus maculatus","Y",NA,NA,23451,6868,NA,1,0,0,NA,40.4,51,"TL",36,"SL",2352,"commercial",NA,NA,NA,2.87,0.35,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"85","Characidae","Piaractus","mesopotamicus","Piaractus mesopotamicus","Y",NA,NA,55383,32894,"Pacu",1,0,0,NA,39.41,40.5,"SL",NA,NA,20000,"commercial",NA,NA,NA,2,0,"Trophic level and s.e. inferred from exclusive plant/detritus food items.",NA,NA,NA,NA
"86","Anostomidae","Leporinus","friderici","Leporinus friderici","Y",NA,NA,12330,36801,"Threespot leporinus",1,0,0,NA,37.83,40,"SL",NA,NA,1500,"minor commercial",NA,NA,NA,3.26,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",47.41224,0.248,NA,NA
"87","Pimelodidae","Pseudoplatystoma","corruscans","Pseudoplatystoma corruscans","Y",NA,NA,8674,36506,"Spotted sorubim",1,0,0,NA,74.8,182,"TL",NA,NA,1e+05,"commercial",NA,NA,NA,4.5,0.8,"Tentative trophic level derived from 1 + troph of a single food item",161,0.11,NA,NA
